CFpVs GpGw WspVk WspU Aktiv
-0.45 -0.41  1.09  0.45  0.00
-0.56 -0.31  1.51  0.16  0.00
 0.06  0.02  1.01  0.40  0.00
-0.07 -0.09  1.45  0.26  0.00
-0.10 -0.09  1.56  0.67  0.00
-0.14 -0.07  0.71  0.28  0.00
 0.04  0.01  1.50  0.71  0.00
-0.07 -0.06  1.37  0.40  0.00
 0.07 -0.01  1.37  0.34  0.00
-0.14 -0.14  1.42  0.43  0.00
-0.23 -0.30  0.33  0.18  0.00
 0.07  0.02  1.31  0.25  0.00
 0.01  0.00  2.15  0.70  0.00
-0.28 -0.23  1.19  0.66  0.00
 0.15  0.05  1.88  0.27  0.00
 0.37  0.11  1.99  0.38  0.00
-0.08 -0.08  1.51  0.42  0.00
 0.05  0.03  1.68  0.95  0.00
 0.01  0.00  1.26  0.60  0.00
 0.12  0.11  1.14  0.17  0.00
-0.28 -0.27  1.27  0.51  0.00
 0.51  0.10  2.49  0.54  1.00
 0.08  0.02  2.01  0.53  1.00
 0.38  0.11  3.27  0.35  1.00
 0.19  0.05  2.25  0.33  1.00
 0.32  0.07  4.24  0.63  1.00
 0.31  0.05  4.45  0.69  1.00
 0.12  0.05  2.52  0.69  1.00
-0.02  0.02  2.05  0.35  1.00
 0.22  0.08  2.35  0.40  1.00
 0.17  0.07  1.80  0.52  1.00
 0.15  0.05  2.17  0.55  1.00
-0.10 -0.01  2.50  0.58  1.00
 0.14 -0.03  0.46  0.26  1.00
 0.14  0.07  2.61  0.52  1.00
 0.15  0.06  2.23  0.56  1.00
 0.16  0.05  2.31  0.20  1.00
 0.29  0.06  1.84  0.38  1.00
 0.54  0.11  2.33  0.48  1.00
-0.33 -0.09  3.01  0.47  1.00
 0.48  0.09  1.24  0.18  1.00
 0.56  0.11  4.29  0.44  1.00
 0.20  0.08  1.99  0.30  1.00
 0.47  0.14  2.92  0.45  1.00
 0.17  0.04  2.45  0.14  1.00
 0.58  0.04  5.06  0.13  1.00
